Month,Year,Rainfall,WPI,Variety
1,2000,18.4,85.5,west coast
2,2000,28.2,82.5,East coast
3,2000,17.9,81.5,Banolium
4,2000,34.7,81.2,Goodanjali
5,2000,71.6,79.7,west coast
6,2000,179,83.5,Goodanjali
7,2000,263.5,85.3,Banolium
8,2000,221.1,91.7,Goodanjali
9,2000,134.5,94.8,Goodanjali
10,2000,41.9,109.6,Banolium
11,2000,14.6,112.4,Goodanjali
12,2000,10,112.8,Banolium
1,2001,6.7,85.3,west coast
2,2001,11.6,82.4,East coast
3,2001,19.9,81.7,Banolium
4,2001,44.6,82.2,Goodanjali
5,2001,62.9,76.7,west coast
6,2001,221.2,81.5,Goodanjali
7,2001,281.1,86.3,Banolium
8,2001,205.5,93.7,Goodanjali
9,2001,111,95.8,Goodanjali
10,2001,100.4,109.6,west coast
11,2001,19.7,115.4,Goodanjali
12,2001,16.1,113.8,Banolium
1,2002,17.1,84.5,west coast
2,2002,20.1,86.5,East coast
3,2002,23.8,87.5,Banolium
4,2002,38.6,91.2,Goodanjali
5,2002,59.8,78.7,west coast
6,2002,172.6,83.5,Goodanjali
7,2002,143.8,86.3,Banolium
8,2002,246.1,93.7,Goodanjali
9,2002,137.9,95.8,Goodanjali
10,2002,55.6,109.6,west coast
11,2002,15.6,112.4,Goodanjali
12,2002,5,119.8,Banolium
1,2003,7.3,87.5,west coast
2,2003,42.3,85.5,East coast
3,2003,36.7,82.5,Banolium
4,2003,36.6,83.2,Goodanjali
5,2003,40.1,79.7,west coast
6,2003,169.3,84.5,Goodanjali
7,2003,306.5,87.3,Banolium
8,2003,243.6,95.7,Goodanjali
9,2003,183.4,97.8,Goodanjali
10,2003,92.7,108.6,west coast
11,2003,11.5,117.4,Goodanjali
12,2003,17.2,115.8,Banolium
1,2004,25.1,88.5,west coast
2,2004,10,83.5,East coast
3,2004,12.8,82.5,Banolium
4,2004,55.2,89.2,Goodanjali
5,2004,80.6,76.7,west coast
6,2004,171.1,93.5,Goodanjali
7,2004,250.5,90.3,Banolium
8,2004,254,92.7,Goodanjali
9,2004,131.5,95.8,Goodanjali
