Month,Year,Rainfall,WPI,Variety
1,2000,18.4,106.5,Gossypium herbaceum
2,2000,28.2,106.1,Gossypium hirsutum
3,2000,17.9,112.8,Gossypium barbadense
4,2000,34.7,101.2,Gossypium arboreum
5,2000,71.6,101.5,Hybrid cotton
6,2000,179,102.5,Gossypium herbaceum
7,2000,263.5,110.7,Gossypium arboreum
8,2000,221.1,115.1,Gossypium hirsutum
9,2000,134.5,112.5,Gossypium herbaceum
10,2000,41.9,114.1,Gossypium barbadense
11,2000,14.6,111.9,Gossypium arboreum
12,2000,10,110.8,Gossypium hirsutum
1,2001,6.7,106.5,Gossypium herbaceum
2,2001,11.6,107.7,Gossypium hirsutum
3,2001,19.9,112.9,Gossypium barbadense
4,2001,44.6,101.4,Gossypium arboreum
5,2001,62.9,101.8,Hybrid cotton
6,2001,221.2,102.8,Gossypium herbaceum
7,2001,281.1,119.7,Gossypium arboreum
8,2001,205.5,115.6,Gossypium hirsutum
9,2001,111,112.7,Gossypium herbaceum
10,2001,100.4,114.9,Gossypium barbadense
11,2001,19.7,111.8,Gossypium arboreum
12,2001,16.1,110.7,Gossypium hirsutum
1,2002,17.1,106.5,Gossypium herbaceum
2,2002,20.1,106.1,Gossypium hirsutum
3,2002,23.8,112.8,Gossypium barbadense
4,2002,38.6,101.2,Gossypium arboreum
5,2002,59.8,101.5,Hybrid cotton
6,2002,172.6,102.5,Gossypium herbaceum
7,2002,143.8,110.7,Gossypium arboreum
8,2002,246.1,115.9,Gossypium hirsutum
9,2002,137.9,112.5,Gossypium herbaceum
10,2002,55.6,115.6,Gossypium barbadense
11,2002,15.6,112.9,Gossypium arboreum
12,2002,5,111.8,Gossypium hirsutum
1,2003,7.3,107.5,Gossypium herbaceum
2,2003,42.3,108.1,Gossypium hirsutum
3,2003,36.7,114.8,Gossypium barbadense
4,2003,36.6,102.2,Gossypium arboreum
5,2003,40.1,101.6,Hybrid cotton
6,2003,169.3,105.5,Gossypium herbaceum
7,2003,306.5,112.7,Gossypium arboreum
8,2003,243.6,115.8,Gossypium hirsutum
9,2003,183.4,114.5,Gossypium herbaceum
10,2003,92.7,114.7,Gossypium barbadense
11,2003,11.5,111.8,Gossypium arboreum
12,2003,17.2,110.9,Gossypium hirsutum
1,2004,25.1,106.7,Gossypium herbaceum
2,2004,10,106.2,Gossypium hirsutum
3,2004,12.8,111.9,Gossypium barbadense
4,2004,55.2,102.2,Gossypium arboreum
5,2004,80.6,101.8,Hybrid cotton
6,2004,171.1,102.6,Gossypium herbaceum
7,2004,250.5,110.8,Gossypium arboreum
8,2004,254,115.8,Gossypium hirsutum
9,2004,131.5,112.6,Gossypium herbaceum
10,2004,95,114.1,Gossypium barbadense
11,2004,17.9,111.5,Gossypium arboreum
12,2004,2.8,110.9,Gossypium hirsutum
1,2005,28.1,107.5,Gossypium herbaceum
2,2005,41.8,106.2,Gossypium hirsutum
3,2005,42.5,114.5,Gossypium barbadense
4,2005,37.7,101.7,Gossypium arboreum
5,2005,46.1,101.8,Hybrid cotton
6,2005,143.2,102.8,Gossypium herbaceum
7,2005,334.1,110.6,Gossypium arboreum
8,2005,190.1,116.1,Gossypium hirsutum
9,2005,206.9,112.1,Gossypium herbaceum
10,2005,99.3,115.8,Gossypium barbadense
11,2005,27.2,112.9,Gossypium arboreum
12,2005,11.2,111.8,Gossypium hirsutum
1,2006,17.7,105.5,Gossypium herbaceum
2,2006,11.9,106.7,Gossypium hirsutum
3,2006,35.6,112.5,Gossypium barbadense
4,2006,32.7,103.2,Gossypium arboreum
5,2006,75,101.7,Hybrid cotton
6,2006,141.8,102.9,Gossypium herbaceum
7,2006,287.6,119.7,Gossypium arboreum
8,2006,281.3,118.8,Gossypium hirsutum
9,2006,178.6,114.5,Gossypium herbaceum
10,2006,51.8,114.6,Gossypium barbadense
11,2006,34.6,111.8,Gossypium arboreum
12,2006,13.1,112.8,Gossypium hirsutum
1,2007,1.7,106.6,Gossypium herbaceum
2,2007,36.7,106.5,Gossypium hirsutum
3,2007,35.2,115.8,Gossypium barbadense
