Month,Year,Rainfall,WPI,Variety
1,2000,18.4,48.6,Emmer
2,2000,28.2,47.1,Einkorn
3,2000,17.9,43.7,Emmer
4,2000,34.7,42.5,Emmer
5,2000,71.6,45.9,Khorasan
6,2000,179,49.7,Durum
7,2000,263.5,44.9,Khorasan
8,2000,221.1,45.1,Einkorn
9,2000,134.5,42.9,Khorasan
10,2000,41.9,48.1,Durum
11,2000,14.6,47.6,Emmer
12,2000,10,49,Khorasan
1,2001,6.7,48.5,Durum
2,2001,11.6,47.3,Einkorn
3,2001,19.9,48.2,Khorasan
4,2001,44.6,49.7,Emmer
5,2001,62.9,47.2,Emmer
6,2001,221.2,48,Emmer
7,2001,281.1,49.9,Durum
8,2001,205.5,49.3,Durum
9,2001,111,50,Durum
10,2001,100.4,50.7,Durum
11,2001,19.7,51.6,Durum
12,2001,16.1,52.3,Durum
1,2002,17.1,53.9,Emmer
2,2002,20.1,50.4,Emmer
3,2002,23.8,52.6,Einkorn
4,2002,38.6,57.3,Emmer
5,2002,59.8,52.9,Emmer
6,2002,172.6,53.4,Einkorn
7,2002,143.8,56.6,Einkorn
8,2002,246.1,55.2,Einkorn
9,2002,137.9,51.9,Einkorn
10,2002,55.6,55.1,Khorasan
11,2002,15.6,52.6,Emmer
12,2002,5,50.6,Khorasan
1,2003,7.3,52.9,Emmer
2,2003,42.3,55.6,Khorasan
3,2003,36.7,58.7,Durum
4,2003,36.6,52.1,Durum
5,2003,40.1,56.3,Durum
6,2003,169.3,57.9,Durum
7,2003,306.5,53.1,Durum
8,2003,243.6,55.3,Durum
9,2003,183.4,56.7,Durum
10,2003,92.7,54.6,Durum
11,2003,11.5,59.7,Durum
12,2003,17.2,60.3,Durum
1,2004,25.1,60.1,Emmer
2,2004,10,62.9,Emmer
3,2004,12.8,61.9,Einkorn
4,2004,55.2,62.7,Emmer
5,2004,80.6,63.4,Emmer
6,2004,171.1,66.8,Einkorn
7,2004,250.5,64.9,Einkorn
8,2004,254,65.5,Emmer
